id,Label,Type,Role,Affiliated Actor(s),Description,Location,Latitude,Longitude,Connection Evidence
A001,SoLaWi BAUERei Potsdam-Grube,SoLaWi,Food Producer,,,"BAUERei Potsdam-Grube e.V., die Solawi für Potsdam",52.432.258.846.109.700,12.953.680.230.623.600,
A002,SoLaWi Members (BAUERei),Individual,Civil Society,SoLaWi BAUERei Potsdam-Grube,Node for individual members - one node to conceptualise all members,,,,
A003,Mathias,Individual,Food Producer,SoLaWi BAUERei Potsdam-Grube,,,,,
A004,Lene Waschke,Individual,Food Producer,SoLaWi BAUERei Potsdam-Grube,,,,,
A005,Jonas,Individual,Food Producer,SoLaWi BAUERei Potsdam-Grube,Ausbildung,,,,
A006,Ökonauten eG,Organization/Institution,Supporting Organisation,,Organisation that leases land to SoLaWis in Berlin-Brandenburg,Ökonauten eG,52.749.881.361.135.000,13.672.791.101.608.200,https://www.youtube.com/watch?v=do9YxpgdvY4
A007,Jugendschule am Schlänitzsee,School,Education,,Its part of another school in potsdam (Montessori-Oberschule Potsdam)  which promotes practical work. they started collaborations with the Solawi,Jugendschule am Schlänitzsee,52.447.807.732.906.800,12.957.116.358.462.300,
A008,Ernährungsrat Potsdam (Food Council Potsdam),Government,Network or Intermediary,Ernährungsrat Brandenburg,Run the BioRegion Havelland program. They are a diverse alliance of citizens who advocate for a sustainable food system in the region,Nansenstr. 6 14471 Potsdam,52.396.682.770.002.000,13.036.393.794.641.200,https://www.youtube.com/watch?v=do9YxpgdvY4
A009,Ernährungsrat Brandenburg,Government,Network or Intermediary,,,,5.239.549.723.376.220,129.279.144.356.759,https://www.youtube.com/watch?v=do9YxpgdvY4
A010,Netzwerk “Hier kommt dein Essen her”,Organization/Institution,Network or Intermediary,BioRegion Havelland,Regional food transparency and direct marketing network in Brandenburg,"Luisenstraße 20 D, 14542 Werder (Havel)",5.239.539.330.644.520,12.927.923.307.163.700,Listed on the website
A011,BioRegion Havelland,Organization/Institution,Network or Intermediary,Ernährungsrat Brandenburg,"regional network that connects and supports organic farmers, food processors, and businesses to strengthen sustainable, local organic food chains","Luisenstraße 20 D, 14542 Werder (Havel)",5.239.539.330.644.520,12.927.923.307.163.700,
A012,Stadt-Land.move e.V.,Organization/Institution,Network or Intermediary,,organization that supports Ernährungsrat Potsdam (Food Council Potsdam),"Luisenstraße 20 D, 14542 Werder (Havel)",5.239.539.330.644.520,12.927.923.307.163.700,"link to all of their projects, might there be one related to Brauerei or another SoLaWi, def worth checking"
A013,LEADER program,Government,Governance,"Ministerium für Land- und Ernährungswirtschaft, Umwelt und Verbraucherschutz (MLEUV)","The Common Agricultural Policy is a large and important policy area of the EU. Besides the purely agricultural promotion, it also includes the development rural areas. In this context, LEADER is one of the funding instruments that serve to support rural infrastructures. LEADER focuses on initiatives at the local level and thus on the networking of the local population and local actors.","Henning-von-Tresckow-Straße 2-13, 14467 Potsdam",5.239.386.839.292.250,13.053.040.293.671.500,https://www.youtube.com/watch?v=do9YxpgdvY4
A014,Land Brandenburg,Government,Governance,,"Farm to dinner table was partially funded by them , same address as F16 LEADER programm","Henning-von-Tresckow-Straße 2-13, 14467 Potsdam",5.239.386.839.292.250,13.053.040.293.671.500,
A015,(ELER program) Europäischer Landwirtschaftsfonds für die Entwicklung des ländlichen Raums,Organization/Institution,Governance,,,,,,
A016,Heimvolksschule am Seddiner See e.V. ,School,Education,,,"Seeweg 2, 14554 Seddiner See-Neuseddin",52.278.131.473.185.000,1.300.870.764.232.700,
A017,BNE Brandenburg,Organization/Institution,Education,,,"50 m rechts vom Eingang zum Botanischen Garten, Unter den Eichen, 12203 Berlin",524.521.118.330.766,13.310.773.668.617.200,https://www.instagram.com/p/DCi89C0skd1/
A018,AWO Grundschule ,School,Education,,,"In d. Feldmark 28, 14476 Potsdam Nord",5.241.221.699.742.770,12.981.811.593.668.100,https://www.instagram.com/p/DPv4EvqiE8h/?img_index=2
A019,"AWO Grundschule ""Marie Juchacz""",School,Education,,,"In d. Feldmark 28, 14476 Potsdam Nord",5.241.221.699.742.770,12.981.811.593.668.100,https://www.youtube.com/watch?v=do9YxpgdvY4
A020,Netzwerk Solidarische Landwirtschaft e.V.,Organization/Institution,Network or Intermediary,,Overarching umbrella organisation for SoLaWis in Germany,,,,https://www.youtube.com/watch?v=do9YxpgdvY4
A021,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e.V. (BAGLOB),Organization/Institution,Network or Intermediary,,"It is an association of pedagogically working people, initiatives and organisations that together pursue the goal of making everyday agricultural life and the creation and processing of food experienceable for children, adolescents and adults.",Nansenstraße 6，14471 Potsdam,5.239.668.279.833.490,1.303.630.795.326.840,https://www.youtube.com/watch?v=do9YxpgdvY4
A022,Heinrich Böll Stiftung,Organization/Institution,Civil Society,,Were at the bottom of a flyer at the bottom of flyer organic agrilcutre seminar ,"Schumannstraße 8, 10117 Berlin",5.252.764.501.010.000,1.338.360.397.831.760,https://www.instagram.com/p/DN8J1wUjMlf/
A023,Bündnis Junge Landwirtschaft ,Organization/Institution,Civil Society,,Were at the bottom of a flyer at the bottom of flyer organic agrilcutre seminar ,"Marienstraße 19-20, 10117 Berlin",52.522.466.120.934.900,13.383.766.023.370.400,https://www.instagram.com/p/DN8J1wUjMlf/
A024,Einführungsseminare Ökolandbau ,Organization/Institution,Education,,Were at the bottom of a flyer at the bottom of flyer organic agrilcutre seminar ,"Marienstraße 19-20, 10117 Berlin",52.522.422.873.155.900,13.383.747.141.051.800,https://www.instagram.com/p/DFYOgwXM87v/?img_index=2
A025,Wir haben es satt!,Organization/Institution,Civil Society,SoLaWi BAUERei Potsdam-Grube,"Farmers, gardeners, hand workers, as well as climate, nature, animal, and environmental activists together 

They organize the green week in Berlin 

Have a really wide network

Seems like BRAUERei joined one demonstration in 2023 ","Marienstraße 19-20, 10117 Berlin",5.252.234.119.276.570,13.383.637.704.276.700,https://www.instagram.com/p/CnzubcIjfFM/
A026,"Bundesministerium für Landwirtschaft, Ernährung und Heimat (BMLEH)",Government,Governance,,Were at the bottom of a flyer at the bottom of flyer organic agrilcutre seminar ,"Wilhelmstraße 54, 10117 Berlin",5.251.375.881.232.760,13.382.426.641.631.000,https://www.instagram.com/p/DN8J1wUjMlf/
A027,IG BAU (Industriegewerkschaft Bauen-Agrar-Umwelt),Organization/Institution,Civil Society,,"trade union in Germany with a membership of 350,000","Lückstraße 72-73, 10317 Bezirk Lichtenberg",5.250.262.857.528.290,13.487.206.792.008.600,"collaborated with a trade union secretary of IG-BAU in a ""workshop on working conditions in Solawis, among other things"" in 2023 in Meissen"
A028,Fridays for Future ,Organization/Institution,Civil Society,,,"Am Treptower Park 75, 12435 Berlin-Bezirk Treptow-Köpenick",52.492.422.385.688.300,1.345.740.296.861.930,https://www.instagram.com/p/DA6q5fptmOY/?img_index=1
