id,Label,Type,Role,Affiliated Actor(s),Description,Location,Latitude,Longitude,Connection Evidence
A001,SoLaWi BAUERei Potsdam-Grube,SoLaWi,Food Producer,,,"BAUERei Potsdam-Grube e.V., die Solawi für Potsdam",52.43239117497451,12.954010608583742,
A006,Ökonauten eG,Organization/Institution,Supporting Organisation,,Organisation that leases land to SoLaWis in Berlin-Brandenburg,Ökonauten eG,52.75993509349558,13.715373115944956,https://www.youtube.com/watch?v=do9YxpgdvY4
A007,Jugendschule am Schlänitzsee,School,Education,,Its part of another school in potsdam (Montessori-Oberschule Potsdam)  which promotes practical work. they started collaborations with the Solawi,Jugendschule am Schlänitzsee,52.44703999883034,12.95714580436981,
A008,Ernährungsrat Potsdam (Food Council Potsdam),Government,Network or Intermediary,Ernährungsrat Brandenburg,Run the BioRegion Havelland program. They are a diverse alliance of citizens who advocate for a sustainable food system in the region,Nansenstr. 6 14471 Potsdam,52.404994190190635,12.999692213774509,https://www.youtube.com/watch?v=do9YxpgdvY4
A009,Ernährungsrat Brandenburg,Government,Network or Intermediary,,,,52.39541869984467,12.928558156474462,https://www.youtube.com/watch?v=do9YxpgdvY4
A010,Netzwerk “Hier kommt dein Essen her”,Organization/Institution,Network or Intermediary,BioRegion Havelland,Regional food transparency and direct marketing network in Brandenburg,"Luisenstraße 20 D, 14542 Werder (Havel)",52.396663158412295,13.036393783960124,Listed on the website
A011,BioRegion Havelland,Organization/Institution,Network or Intermediary,Ernährungsrat Brandenburg,"regional network that connects and supports organic farmers, food processors, and businesses to strengthen sustainable, local organic food chains","Luisenstraße 20 D, 14542 Werder (Havel)",52.395477621248006,12.927989528142376,
A012,Stadt-Land.move e.V.,Organization/Institution,Network or Intermediary,,organization that supports Ernährungsrat Potsdam (Food Council Potsdam),"Luisenstraße 20 D, 14542 Werder (Havel)",52.395477621248006,12.927989528142376,"link to all of their projects, might there be one related to Brauerei or another SoLaWi, def worth checking"
A013,LEADER program,Government,Governance,"Ministerium für Land- und Ernährungswirtschaft, Umwelt und Verbraucherschutz (MLEUV)","The Common Agricultural Policy is a large and important policy area of the EU. Besides the purely agricultural promotion, it also includes the development rural areas. In this context, LEADER is one of the funding instruments that serve to support rural infrastructures. LEADER focuses on initiatives at the local level and thus on the networking of the local population and local actors.","Henning-von-Tresckow-Straße 2-13, 14467 Potsdam",52.39411497744646,13.052931055123492,https://www.youtube.com/watch?v=do9YxpgdvY4
A014,Land Brandenburg,Government,Governance,,"Farm to dinner table was partially funded by them , same address as F16 LEADER programm","Henning-von-Tresckow-Straße 2-13, 14467 Potsdam",52.39411497744646,13.052931055123492,
A015,(ELER program) Europäischer Landwirtschaftsfonds für die Entwicklung des ländlichen Raums,Organization/Institution,Governance,,,,,,
A016,Heimvolksschule am Seddiner See e.V. ,School,Education,,,"Seeweg 2, 14554 Seddiner See-Neuseddin",52.27800692832174,13.00873166860795,
A017,BNE Brandenburg,Organization/Institution,Education,,,"50 m rechts vom Eingang zum Botanischen Garten, Unter den Eichen, 12203 Berlin",52.45430557856854,13.30570518836139,https://www.instagram.com/p/DCi89C0skd1/
A018,AWO Grundschule ,School,Education,,,"In d. Feldmark 28, 14476 Potsdam Nord",52.412319881271046,12.981799668615107,https://www.instagram.com/p/DPv4EvqiE8h/?img_index=2
A019,"AWO Grundschule ""Marie Juchacz""",School,Education,,,"In d. Feldmark 28, 14476 Potsdam Nord",52.412319881271046,12.981799668615107,https://www.youtube.com/watch?v=do9YxpgdvY4
A020,Netzwerk Solidarische Landwirtschaft e.V.,Organization/Institution,Network or Intermediary,,Overarching umbrella organisation for SoLaWis in Germany,,50.897815006317146,7.027349183377116,https://www.youtube.com/watch?v=do9YxpgdvY4
A021,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e.V. (BAGLOB),Organization/Institution,Network or Intermediary,,"It is an association of pedagogically working people, initiatives and organisations that together pursue the goal of making everyday agricultural life and the creation and processing of food experienceable for children, adolescents and adults.",Nansenstraße 6，14471 Potsdam,52.39666970505415,13.036393783960124,https://www.youtube.com/watch?v=do9YxpgdvY4
A022,Heinrich Böll Stiftung,Organization/Institution,Civil Society,,Were at the bottom of a flyer at the bottom of flyer organic agrilcutre seminar ,"Schumannstraße 8, 10117 Berlin",52.52382537192818,13.383124682111733,https://www.instagram.com/p/DN8J1wUjMlf/
A023,Bündnis Junge Landwirtschaft ,Organization/Institution,Civil Society,,Were at the bottom of a flyer at the bottom of flyer organic agrilcutre seminar ,"Marienstraße 19-20, 10117 Berlin",52.52253694740444,13.384517755130334,https://www.instagram.com/p/DN8J1wUjMlf/
A024,Einführungsseminare Ökolandbau ,Organization/Institution,Education,,Were at the bottom of a flyer at the bottom of flyer organic agrilcutre seminar ,"Marienstraße 19-20, 10117 Berlin",52.52253694740444,13.384517755130334,https://www.instagram.com/p/DFYOgwXM87v/?img_index=2
A025,Wir haben es satt!,Organization/Institution,Civil Society,SoLaWi BAUERei Potsdam-Grube,"Farmers, gardeners, hand workers, as well as climate, nature, animal, and environmental activists together 

They organize the green week in Berlin 

Have a really wide network

Seems like BRAUERei joined one demonstration in 2023 ","Marienstraße 19-20, 10117 Berlin",52.52253694740444,13.384517755130334,https://www.instagram.com/p/CnzubcIjfFM/
A026,"Bundesministerium für Landwirtschaft, Ernährung und Heimat (BMLEH)",Government,Governance,,Were at the bottom of a flyer at the bottom of flyer organic agrilcutre seminar ,"Wilhelmstraße 54, 10117 Berlin",52.51378174515817,13.38264305512988,https://www.instagram.com/p/DN8J1wUjMlf/
A027,IG BAU (Industriegewerkschaft Bauen-Agrar-Umwelt),Organization/Institution,Civil Society,,"trade union in Germany with a membership of 350,000","Lückstraße 72-73, 10317 Bezirk Lichtenberg",52.50267256665459,13.487311114657368,"collaborated with a trade union secretary of IG-BAU in a ""workshop on working conditions in Solawis, among other things"" in 2023 in Meissen"
A028,Fridays for Future ,Organization/Institution,Civil Society,,,"Am Treptower Park 75, 12435 Berlin-Bezirk Treptow-Köpenick",52.49219785394064,13.457671226292263,https://www.instagram.com/p/DA6q5fptmOY/?img_index=1
